name,domain,engine,developer,reachable,status,has_inventory,requires_js,listing_hits,tera_token,property_pages,api_candidates,sitemap,robots_disallowed,error
BISTIANCIC PROPIEDADES,bistiancicpropiedades.com.uy,tera,sierra,true,200,true,false,30,,https://www.bistiancicpropiedades.com.uy/ https://www.bistiancicpropiedades.com.uy/casas/en-alquiler/,,,false,
BORSARI INMOBILIARIA,borsari.com.uy,tera,sierra,true,200,true,false,20,,https://www.borsari.com.uy/ https://www.borsari.com.uy/casas/en-alquiler/,,,false,
BRUMAR PROPIEDADES,brumar.uy,tera,sierra,true,200,true,false,10,,https://www.brumar.uy/ https://www.brumar.uy/casas/en-alquiler/,,,false,
CAETANO NEGOCIOS INMOBILIARIOS,caetano.com.uy,tera,sierra,true,200,true,false,19,,http://www.caetano.com.uy/casas/en-alquiler/ http://www.caetano.com.uy/casas/en-venta/,,,false,
CARRIQUIRY PROPIEDADES,carriquiry.com.uy,tera,,true,200,true,false,24,,http://carriquiry.com.uy/ http://carriquiry.com.uy/casas/en-venta/,,,false,
CORALES REAL ESTATE,coralesrealestate.com,tera,sierra,true,200,true,false,13,,http://coralesrealestate.com http://coralesrealestate.com/casas/en-venta/,,,false,
CRISTINA NAUM INMOBILIARIA,cristinanaum.com,tera,,true,200,true,false,14,,http://www.cristinanaum.com/casas/en-alquiler/ http://www.cristinanaum.com/casas/en-venta/,,,false,
CUPERTINO NEGOCIOS INMOBILIARIOS,cupertino.uy,tera,,true,200,true,false,6,,https://cupertino.uy/ https://cupertino.uy/apartamentos/en-alquiler/,,,false,
CÁNEPA Y CÁNEPA NEGOCIOS INMOBILIARIOS Y CAMPOS,canepa.com.uy,tera,,true,200,true,false,29,,https://www.canepa.com.uy/ https://www.canepa.com.uy/casas/en-alquiler/,,,false,
DE LEÓN PROPIEDADES,deleonpropiedades.com.uy,tera,sierra,true,200,true,false,24,,https://www.deleonpropiedades.com.uy/ https://www.deleonpropiedades.com.uy/casas/en-alquiler/,,,false,
ELIANA PINTOS BIENES RAÍCES,elianabienesraices.com,tera,sierra,true,200,true,false,11,,http://www.elianabienesraices.com http://www.elianabienesraices.com/casas/en-alquiler/,,,false,
FINCAS DEL ESTE,fincasdeleste.com.uy,tera,sierra,true,200,true,false,4,,http://www.fincasdeleste.com.uy http://www.fincasdeleste.com.uy/casas/en-alquiler/,,http://www.fincasdeleste.com.uy/sitemap.xml,false,
GALE PROPIEDADES Y ESCRIBANÍA,galepropiedades.com.uy,tera,sierra,true,200,true,false,40,,https://www.galepropiedades.com.uy https://www.galepropiedades.com.uy/casas/en-alquiler/,,,false,
GARRIDO ASOCIADAS NEGOCIOS INMOBILIARIOS,garridoasociadas.com,tera,sierra,true,200,true,false,20,,https://www.garridoasociadas.com/ https://www.garridoasociadas.com/casas/en-alquiler/,,,false,
GARY+ EXPERIENCIA INMOBILIARIA,gary.uy,tera,,true,200,true,false,9,,https://www.gary.uy https://www.gary.uy/,,https://www.gary.uy/sitemap.xml,false,
GIMENO´S REAL ESTATE,gimenos.com.uy,tera,sierra,true,200,true,false,10,,https://www.gimenos.com.uy/ https://www.gimenos.com.uy/casas/en-alquiler/,,,false,
GROW INVERSIONES INMOBILIARIAS,growinversionesinmobiliarias.uy,tera,sierra,true,200,true,false,23,,https://www.growinversionesinmobiliarias.uy https://www.growinversionesinmobiliarias.uy/casas/en-alquiler/,,https://www.growinversionesinmobiliarias.uy/sitemap.xml,false,
GRUPO RAZYEL,gruporazyel.uy,tera,sierra,true,200,true,false,11,,https://www.gruporazyel.uy/ https://www.gruporazyel.uy/casas/en-alquiler/,,,false,
INMOBILIARIA GARCÍA & CEDRÉS,garciaycedresinmobiliaria.com.uy,tera,sierra,true,200,true,false,20,,https://www.garciaycedresinmobiliaria.com.uy https://www.garciaycedresinmobiliaria.com.uy/casas/en-alquiler/,,,false,
INMOBILIARIA GORLERO,inmobiliariagorlero.com,tera,sierra,true,200,true,false,20,,https://www.inmobiliariagorlero.com/ https://www.inmobiliariagorlero.com/casas/en-alquiler/,,,false,
INMOBILIARIA PUCURULL,pucurull.com,tera,sierra,true,200,true,false,9,,https://www.pucurull.com/ https://www.pucurull.com/casas/en-alquiler/,,,false,
INMOBILIARIA PUNTA HOMES,puntahomes.uy,tera,sierra,true,200,true,false,38,,https://www.puntahomes.uy https://www.puntahomes.uy/casas/en-venta/,,,false,
INMOBILIARIA VERONA PUNTA,veronapunta.com,tera,sierra,true,200,true,false,12,,https://www.veronapunta.com/ https://www.veronapunta.com/casas/en-alquiler/,,,false,
INMOBILIARIA VISTANET,vistanet.uy,tera,sierra,true,200,true,false,15,,https://www.vistanet.uy https://www.vistanet.uy/casas/en-alquiler/,,,false,
INTEGRA ASESORES INMOBILIARIOS,integra.com.uy,tera,sierra,true,200,false,false,0,,,,,false,
INÉS PODESTÁ PROPIEDADES,inespodesta.com.uy,tera,sierra,true,200,true,false,40,,http://www.inespodesta.com.uy/ http://www.inespodesta.com.uy/casas/en-venta/,,,false,
IRV IVANNA RODRIGUEZ VIGNOLY PROPIEDADES,irvpropiedades.com,tera,sierra,true,200,true,false,28,,https://irvpropiedades.com/ https://irvpropiedades.com/casas/en-venta/,,,false,
JAVIER SENA INMOBILIARIA,javiersena.com,tera,sierra,true,200,true,false,18,,https://www.javiersena.com/ https://www.javiersena.com/casas/en-alquiler/,,,false,
JORGE DÍAZ PROPIEDADES,jorgediaz.com.uy,tera,sierra,true,200,true,false,10,,https://www.jorgediaz.com.uy/ https://www.jorgediaz.com.uy/casas/en-venta/,,,false,
KAREN COLOMBO PROPIEDADES,karencolombopropiedades.com,tera,sierra,true,200,true,false,10,,http://www.karencolombopropiedades.com http://www.karencolombopropiedades.com/casas/en-alquiler/,,,false,
LA PORTA NEGOCIOS INMOBILIARIOS,inmobiliarialaporta.com.uy,tera,,true,200,true,false,17,,https://www.inmobiliarialaporta.com.uy https://www.inmobiliarialaporta.com.uy/casas/en-alquiler/,,,false,
LATITUD PUNTA,latitudpunta.com.uy,tera,,true,200,true,false,20,,https://www.latitudpunta.com.uy,https://www.latitudpunta.com.uy/manifest.json,,false,
LILIÁN FURTADO INMOBILIARIA,lilianfurtado.com,tera,sierra,true,200,true,false,12,,https://www.lilianfurtado.com/casas/en-alquiler/ https://www.lilianfurtado.com/casas/en-venta/,,,false,
M&M BROKER,mmbroker.global,tera,sierra,true,200,true,false,10,,https://mmbroker.global/ https://mmbroker.global/casas/en-alquiler/,,,false,
MACHADO INMOBILIARIA,machadoinmobiliaria.com.uy,tera,sierra,true,200,true,false,22,,https://www.machadoinmobiliaria.com.uy/ https://www.machadoinmobiliaria.com.uy/casas/en-alquiler/,,,false,
MAR Y TIERRA PROPIEDADES,marytierra.com.uy,tera,sierra,true,200,true,false,21,,https://www.marytierra.com.uy/ https://www.marytierra.com.uy/casas/en-venta/,,,false,
MARTA OJEDA INMOBILIARIA,martaojeda.com.uy,tera,sierra,true,200,true,false,5,,http://www.martaojeda.com.uy/ http://www.martaojeda.com.uy/casas/en-alquiler/,,,false,
MD PROPIEDADES,mdpropiedades.com,tera,sierra,true,200,true,false,24,,http://www.mdpropiedades.com/ http://www.mdpropiedades.com/casas/en-venta/,,,false,
MIRANDA Y DÍAZ PROPIEDADES,mirandaydiaz.com,tera,sierra,true,200,false,false,0,,,,,false,
MONTAÑÉS PROPIEDADES,emp.com.uy,tera,sierra,true,200,true,false,20,,https://montanes.uy/ https://montanes.uy/casas/en-venta/,,,false,
NICOLÁS DE MÓDENA INMOBILIARIA,nicolasdemodena.com,tera,,true,200,true,false,24,UTDAdp2UIq62,https://www.nicolasdemodena.com/ https://www.nicolasdemodena.com/casas/en-alquiler/,,https://www.nicolasdemodena.com/sitemap.xml,false,
NIETO & PÁEZ INMOBILIARIA,nietoypaezinmobiliaria.com,tera,sierra,true,200,true,false,20,,https://www.nietoypaezinmobiliaria.com/ https://www.nietoypaezinmobiliaria.com/casas/en-alquiler/,,,false,
PAROLIN & ASOCIADOS PROPIEDADES,parolinpropiedades.com,tera,sierra,true,200,true,false,18,,https://www.parolinpropiedades.com/ https://www.parolinpropiedades.com/casas/en-alquiler/,,,false,
PEDRO GAVA NEGOCIOS INMOBILIARIOS,pedrogava.com,tera,sierra,true,200,true,false,36,,https://www.pedrogava.com/ https://www.pedrogava.com/casas/en-venta/,,,false,
PLAYA DEL ESTE INMOBILIARIA,inmobiliariaplayadeleste.com,tera,sierra,true,200,true,false,29,,https://www.inmobiliariaplayadeleste.com/ https://www.inmobiliariaplayadeleste.com/casas/en-alquiler/,,,false,
PRANA BROKERS,pranabrokers.com.uy,tera,sierra,true,200,true,false,16,,https://www.pranabrokers.com.uy/casas/en-venta/ https://www.pranabrokers.com.uy/apartamentos/en-alquiler/,,,false,
PUNTA BALLENA INMOBILIARIA,puntaballenainmobiliaria.com,tera,,true,200,true,false,19,,http://puntaballenainmobiliaria.com/,,,false,
REAL NEGOCIOS INMOBILIARIOS,realinmobiliaria.com.uy,tera,sierra,true,200,true,false,38,,https://www.realinmobiliaria.com.uy https://www.realinmobiliaria.com.uy/casas/en-venta/,,,false,
REBECA NEGOCIOS INMOBILIARIOS,rebecainmobiliaria.com,tera,,true,200,true,false,8,,https://www.rebecainmobiliaria.com/ https://www.rebecainmobiliaria.com/casas/en-alquiler/,,,false,
ROSA BOSSO NEGOCIOS INMOBILIARIOS,inmobiliariarosabosso.com,tera,sierra,true,200,true,false,20,,https://www.inmobiliariarosabosso.com/ https://www.inmobiliariarosabosso.com/casas/en-alquiler/,,,false,
RÍO DE LA PLATA INMOBILIARIA,riodelaplatainmobiliaria.com,tera,sierra,true,200,true,false,18,,https://riodelaplatainmobiliaria.com/apartamentos/en-alquiler/,,https://riodelaplatainmobiliaria.com/sitemap.xml,false,
SANTIAGO PEREYRA PROPIEDADES,santiagopereyra.com.uy,tera,sierra,true,200,true,false,35,kXNKyPzPFklQ,https://www.santiagopereyra.com.uy/ https://www.santiagopereyra.com.uy/casas/en-alquiler/,,,false,
SANTOS DUMONT INMOBILIARIA,santosdumont.com.uy,tera,sierra,true,200,true,false,20,,https://www.santosdumont.com.uy/ https://www.santosdumont.com.uy/casas/en-alquiler/,,,false,
SHIRLEY COR PROPIEDADES,shirleycor.com,tera,sierra,true,200,true,false,18,,https://www.shirleycor.com/ https://www.shirleycor.com/casas/en-alquiler/,,,false,
SÁDER INMOBILIARIA,saderinmobiliaria.com,tera,sierra,true,200,true,false,16,,https://www.saderinmobiliaria.com/ https://www.saderinmobiliaria.com/casas/en-alquiler/,,,false,
TAMBOLINI PROPIEDADES,tambolini.com,tera,sierra,true,200,true,false,40,,https://www.tambolini.com/ https://www.tambolini.com/casas/en-alquiler/,,,false,
URUSOL INMOBILIAIRA,urusol.uy,tera,sierra,true,200,true,false,8,,https://urusol.uy/ https://urusol.uy/casas/en-alquiler/,,,false,
VILLALBA PROPIEDADES,villalbapropiedades.com,tera,sierra,true,200,true,false,16,,https://www.villalbapropiedades.com https://www.villalbapropiedades.com/casas/en-alquiler/,,,false,
VIP PUNTA PRO,vippuntapro.com,tera,sierra,true,200,true,false,17,,http://www.vippuntapro.com http://www.vippuntapro.com/casas/en-alquiler/,,,false,
WAVE REAL ESTATE,waveuy.com,tera,sierra,true,200,true,false,40,,https://www.waveuy.com/ https://www.waveuy.com/casas/en-alquiler/,,,false,
ÍNDIGO PROPIEDADES,indigopropiedades.com,tera,sierra,true,200,true,false,18,,http://www.indigopropiedades.com/ http://www.indigopropiedades.com/casas/en-alquiler/,,,false,
APOLOGROUP NEGOCIOS INMOBILIARIOS,,unknown,,false,0,false,false,0,,,,,false,agency has no website
ARCO’S NEGOCIOS INMOBILIARIOS,,unknown,,false,0,false,false,0,,,,,false,agency has no website
BLÁS PROPIEDADES,,unknown,,false,0,false,false,0,,,,,false,agency has no website
BOSQUEMAR GESTIÓN INMOBILIARIA,,unknown,,false,0,false,false,0,,,,,false,agency has no website
CLAUDIA SILVA ADMINISTRACIONES,,unknown,,false,0,false,false,0,,,,,false,agency has no website
FRANCA REAL ESTATE,francarealestate.com,unknown,,false,0,false,false,0,,,,,false,"Get ""https://www.francarealestate.com"": dial tcp 108.163.145.209:443: i/o timeout"
INMOBILIARIA DEL TRIÁNGULO,,unknown,,false,0,false,false,0,,,,,false,agency has no website
INMOBILIARIA GABRIEL BARRIOS,,unknown,,false,0,false,false,0,,,,,false,agency has no website
PABLO Y SUÁREZ PROPIEDADES,pabloysuarez.com,unknown,,false,0,false,false,0,,,,,false,no such host
PAN DE AZÚCAR INMOBILIARIA,,unknown,,false,0,false,false,0,,,,,false,agency has no website
REMAX MAR,,unknown,,false,0,false,false,0,,,,,false,agency has no website
STERN SERVICIOS INMOBILIARIOS,sternyasociados.com,unknown,,false,0,false,false,0,,,,,false,no such host
SUEVIA INMOBILIARIA,inmobiliariasuevia.com,unknown,,false,0,false,false,0,,,,,false,no such host
VIÑOLY NEGOCIOS INMOBILIARIOS,viñolynegociosinmobiliarios.com,unknown,,false,0,false,false,0,,,,,false,no such host
GINEVRA INTERNATIONAL REALTY,ginevrasir.com,wix,,true,404,false,true,0,,,,,false,
JUAN MIRABALLES VENTAS Y ALQUILERS,juanmiraballes.com,wix,,true,200,true,false,5,,https://www.juanmiraballes.com/,https://static.parastorage.com/tag-bundler/api/v1/fonts-cache/googlefont/woff2/s/damion/v15/hv-XlzJ3KEUe_YZkZGw2EzJwV9J-.woff2 https://static.parastorage.com/tag-bundler/api/v1/fonts-cache/googlefont/woff2/s/damion/v15/hv-XlzJ3KEUe_YZkamw2EzJwVw.woff2 https://static.parastorage.com/tag-bundler/api/v1/fonts-cache/googlefont/woff2/s/play/v11/6ae84K2oVqwItm4TCp0y2lvQNTIQoQ.woff2 https://static.parastorage.com/tag-bundler/api/v1/fonts-cache/googlefont/woff2/s/play/v11/6ae84K2oVqwItm4TCp4y2lvQNTIQoQ.woff2 https://static.parastorage.com/tag-bundler/api/v1/fonts-cache/googlefont/woff2/s/play/v11/6ae84K2oVqwItm4TCp8y2lvQNTIQoQ.woff2 https://static.parastorage.com/tag-bundler/api/v1/fonts-cache/googlefont/woff2/s/play/v11/6ae84K2oVqwItm4TCpAy2lvQNTI.woff2 https://static.parastorage.com/tag-bundler/api/v1/fonts-cache/googlefont/woff2/s/play/v11/6ae84K2oVqwItm4TCpMy2lvQNTIQoQ.woff2 https://static.parastorage.com/tag-bundler/api/v1/fonts-cache/googlefont/woff2/s/play/v11/6ae84K2oVqwItm4TCpQy2lvQNTIQoQ.woff2,https://www.juanmiraballes.com/sitemap.xml,false,
ZULAMIÁN DESARROLLOS INMOBILIARIOS,zulamian.com,wix,,true,200,false,false,0,,,https://static.parastorage.com/tag-bundler/api/v1/fonts-cache/googlefont/woff2/s/raleway/v26/1Ptug8zYS_SKggPNyC0IT4ttDfA.woff2 https://static.parastorage.com/tag-bundler/api/v1/fonts-cache/googlefont/woff2/s/roboto/v18/fIKu7GwZTy_12XzG_jt8eA.woff2 https://static.parastorage.com/tag-bundler/api/v1/fonts-cache/googlefont/woff2/s/roboto/v32/KFOkCnqEu92Fr1Mu51xIIzIXKMny.woff2 https://static.parastorage.com/tag-bundler/api/v1/fonts-cache/googlefont/woff2/s/roboto/v32/KFOmCnqEu92Fr1Mu4WxKKTU1Kvnz.woff2 https://static.parastorage.com/tag-bundler/api/v1/fonts-cache/googlefont/woff2/s/roboto/v32/KFOmCnqEu92Fr1Mu4mxKKTU1Kg.woff2 https://static.parastorage.com/tag-bundler/api/v1/fonts-cache/googlefont/woff2/s/roboto/v32/KFOmCnqEu92Fr1Mu5mxKKTU1Kvnz.woff2 https://static.parastorage.com/tag-bundler/api/v1/fonts-cache/googlefont/woff2/s/roboto/v32/KFOmCnqEu92Fr1Mu72xKKTU1Kvnz.woff2 https://static.parastorage.com/tag-bundler/api/v1/fonts-cache/googlefont/woff2/s/roboto/v32/KFOmCnqEu92Fr1Mu7GxKKTU1Kvnz.woff2,https://www.zulamian.com/sitemap.xml,false,
AISPURÚ BIENES RAÍCES,aispuru.com,wordpress,,true,200,true,false,10,,https://aispuru.com/propiedades/,https://aispuru.com/manifest.json https://aispuru.com/wp-json/wp/v2/ https://fonts.googleapis.com,https://aispuru.com/sitemap.xml https://aispuru.com/sitemap_index.xml,false,
ANTONIO MIERES NEGOCIOS INMOBILIARIOS,antoniomieres.com.uy,wordpress,,true,200,true,false,6,,https://antoniomieres.com.uy/ https://antoniomieres.com.uy/campos-en-venta-en-uruguay/,https://antoniomieres.com.uy/wp-json/wp/v2/ https://fonts.googleapis.com,https://antoniomieres.com.uy/sitemap.xml https://antoniomieres.com.uy/sitemap_index.xml,false,
BRICK REAL ESTATE,inmobiliariabrick.com,wordpress,,true,200,true,false,28,,https://www.inmobiliariabrick.com/ https://www.inmobiliariabrick.com/propiedades/,https://fonts.googleapis.com https://www.inmobiliariabrick.com/wp-json/wp/v2/,https://www.inmobiliariabrick.com/sitemap.xml,false,
